,WMA value,OBV Value,VPT Value,Adj Close
211,2969.99,,,
212,2970.05,,,
213,2970.13,,,
214,2970.27,,,
215,2970.37,,,
216,2970.43,,,
217,2970.41,,,
218,2970.32,,,
219,2970.13,,,
220,2969.79,,,
221,2969.34,,,
222,2968.85,,,
223,2968.36,,,
224,2967.78,,,
225,2967.1,,,
226,2966.35,,,
227,2965.49,,,
228,2964.63,,,
229,2963.76,,,
230,2963.03,,,
231,2962.37,,,
232,2961.75,,,
233,2961.18,,,
234,2960.74,,,
235,2960.32,,,
236,2960.04,,,
237,2959.78,,,
238,2959.53,,,
239,2959.19,,,
240,2958.77,,,
241,2958.39,,,
242,2958.12,,,
243,2957.93,,,
244,2957.76,,,
245,2957.66,,,
246,2957.59,,,
247,2957.54,,,
248,2957.47,,,
249,2957.29,,,
250,2957.02,,,
251,2956.78,,,
252,2956.62,,,
253,2956.49,,,
254,2956.42,,,
255,2956.37,,,
256,2956.35,,,
257,2956.35,,,
258,2956.29,,,
259,2956.16,,,
260,2955.9,,,
261,2955.58,,,
262,2955.25,,,
263,2954.85,,,
264,2954.36,,,
265,2953.86,,,
266,2953.24,,,
267,2952.5,,,
268,2951.8,,,
269,2951.27,,,
270,2950.88,,,
271,2950.51,,,
272,2950.07,,,
273,2949.62,,,
274,2949.06,,,
275,2948.45,,,
276,2947.81,,,
277,2947.23,,,
278,2946.79,,,
279,2946.49,,,
280,2946.3,,,
281,2946.1,,,
282,2945.9,,,
283,2945.73,,,
284,2945.6,,,
285,2945.48,,,
286,2945.34,,,
287,2945.16,,,
288,2944.93,,,
289,2944.7,,,
290,2944.5,,,
291,2944.35,,,
292,2944.18,,,
293,2944.01,,,
294,2943.79,,,
295,2943.54,,,
296,2943.3,,,
297,2943.18,,,
298,2943.08,,,
299,2942.96,,,
300,2942.81,,,
301,2942.6,,,
302,2942.35,,,
303,2942.0,,,
304,2941.61,,,
305,2941.22,,,
306,2940.89,,,
307,2940.59,,,
308,2940.32,,,
309,2940.11,,,
310,2939.92,,,
311,2939.82,,,
312,2939.71,,,
313,2939.56,,,
314,2939.39,,,
315,2939.26,,,
316,2939.16,,,
317,2939.15,,,
318,2939.25,,,
319,2939.45,,,
320,2939.71,,,
321,2940.01,,,
322,2940.34,,,
323,2940.68,,,
324,2941.05,,,
325,2941.56,,,
326,2942.07,,,
327,2942.63,,,
328,2943.23,,,
329,2943.93,,,
330,2944.52,,,
331,2945.05,,,
332,2945.53,,,
333,2946.03,,,
334,2946.51,,,
335,2947.03,,,
336,2947.6,,,
337,2948.14,,,
338,2948.63,,,
339,2949.05,,,
340,2949.42,,,
341,2949.69,,,
342,2949.89,,,
343,2950.0,,,
344,2950.04,,,
345,2949.97,,,
346,2949.81,,,
347,2949.57,,,
348,2949.28,,,
349,2948.89,,,
350,2948.43,,,
351,2947.94,,,
352,2947.47,,,
353,2947.09,,,
354,2946.74,,,
355,2946.3,,,
356,2945.9,,,
357,2945.42,,,
358,2944.9,,,
359,2944.27,,,
360,2943.76,,,
361,2943.32,,,
362,2943.04,,,
363,2942.86,,,
364,2942.79,,,
365,2942.73,,,
366,2942.59,,,
367,2942.46,,,
368,2942.36,,,
369,2942.27,,,
370,2942.16,,,
371,2941.99,,,
372,2941.79,,,
373,2941.58,,,
374,2941.42,,,
375,2941.34,,,
376,2941.35,,,
377,2941.38,,,
378,2941.4,,,
379,2941.45,,,
380,2941.51,,,
381,2941.61,,,
382,2941.64,,,
383,2941.62,,,
384,2941.6,,,
385,2941.56,,,
386,2941.48,,,
387,2941.41,,,
388,2941.4,,,
389,2941.41,,,
390,2941.45,,,
391,2941.48,,,
